block	gene	fisher	d_c	d_nc	nd_c	nd_nc	pymc3	logit	susie	varbvs
block1	gene_1	0.460791	1	1421	0	1664	0.0645	0.125	0.125	0.100334
block1	gene_2	0.460791	1	1421	0	1664	0.073	0.125	0.125	0.100334
block1	gene_3	0.460791	1	1421	0	1664	0.0645	0.125	0.125	0.100334
block1	gene_4	0.460791	1	1421	0	1664	0.0605	0.125	0.125	0.100334
block1	gene_5	0.460791	1	1421	0	1664	0.062	0.125	0.125	0.100335
block1	gene_6	0.460791	1	1421	0	1664	0.0665	0.125	0.125	0.100335
block1	gene_7	0.460791	1	1421	0	1664	0.074	0.125	0.125	0.100334
block1	gene_8	0.460791	1	1421	0	1664	0.07	0.125	0.125	0.100334
block2	gene_9	0.460791	1	1421	0	1664	0.0675	0.1	0.1	0.090416
block2	gene_10	0.460791	1	1421	0	1664	0.067	0.1	0.1	0.090416
block2	gene_11	0.460791	1	1421	0	1664	0.0625	0.1	0.1	0.090416
block2	gene_12	0.460791	1	1421	0	1664	0.066	0.1	0.1	0.090416
block2	gene_13	0.460791	1	1421	0	1664	0.065	0.1	0.1	0.090416
block2	gene_14	0.460791	1	1421	0	1664	0.0595	0.1	0.1	0.090416
block2	gene_15	0.460791	1	1421	0	1664	0.0615	0.1	0.1	0.090416
block2	gene_16	0.460791	1	1421	0	1664	0.054	0.1	0.1	0.090416
block2	gene_17	0.460791	1	1421	0	1664	0.0805	0.1	0.1	0.090416
block2	gene_18	0.460791	1	1421	0	1664	0.0585	0.1	0.1	0.090416
block3	gene_19	1.0	0	1422	1	1663	0.027	0.2	0.0	0.122729
block3	gene_20	1.0	0	1422	1	1663	0.0365	0.2	0.0	0.122729
block3	gene_21	1.0	0	1422	1	1663	0.0355	0.2	0.0	0.122728
block3	gene_22	1.0	0	1422	1	1663	0.0325	0.2	0.0	0.122728
block3	gene_23	1.0	0	1422	1	1663	0.0355	0.2	0.0	0.122728
block4	gene_24	0.861212	16	1406	17	1647	0.1305	0.044056	0.0	0.028421
block4	gene_25	1.0	20	1402	23	1641	0.221	0.034923	0.0	0.024581
block4	gene_26	1.0	20	1402	23	1641	0.178	0.034923	0.0	0.024581
block4	gene_27	1.0	20	1402	23	1641	0.207	0.034923	0.0	0.024581
block4	gene_28	1.0	20	1402	23	1641	0.116	0.034923	0.0	0.024581
block4	gene_29	1.0	20	1402	23	1641	0.167	0.034923	0.0	0.024581
block4	gene_30	0.662096	11	1411	10	1654	0.0515	0.068747	0.0	0.038022
block4	gene_31	1.0	6	1416	7	1657	0.0275	0.060081	0.0	0.039954
block4	gene_32	1.0	1	1421	1	1663	0.037	0.118354	0.0	0.065205
block4	gene_33	1.0	1	1421	1	1663	0.0365	0.118354	0.0	0.065205
block4	gene_34	1.0	1	1421	1	1663	0.0295	0.118354	0.0	0.065205
block4	gene_35	1.0	0	1422	1	1663	0.037	0.099146	0.0	0.076336
block4	gene_36	1.0	0	1422	1	1663	0.0175	0.099146	0.0	0.076336
block4	gene_37	1.0	0	1422	1	1663	0.0345	0.099146	0.0	0.076336
block5	gene_38	0.502914	0	1422	2	1662	0.029	0.121866	0.0	0.107807
block5	gene_39	1.0	1	1421	2	1662	0.0255	0.128137	0.0	0.080954
block5	gene_40	0.629361	1	1421	3	1661	0.0265	0.109314	0.0	0.085254
block5	gene_41	1.0	1	1421	2	1662	0.04	0.128137	0.0	0.081018
block5	gene_42	1.0	1	1421	2	1662	0.0445	0.128137	0.0	0.081018
